agentid,date,agent,department,answered,resolved,speedofanswer,avgtalkduration,satisfaction,callpurpose
ID3139,24/02/2015 17:13,Jim,Toaster,N,N,,,,
ID3222,26/02/2015 10:12,Jim,Fridge,N,N,,,,
ID3754,07/03/2015 9:59,Jim,Toaster,N,N,,,,Returns
ID4876,28/03/2015 16:04,Dan,Toaster,N,N,,,,Returns
ID0001,01/01/2015 9:12,Diane,Washing Machine,Y,Y,109,0:02:23,3,
ID0002,01/01/2015 9:12,Becky,Air Conditioner,Y,N,70,0:04:02,3,Billing
ID0003,01/01/2015 9:47,Stewart,Washing Machine,Y,Y,10,0:02:11,3,Returns
ID0004,01/01/2015 9:47,Greg,Washing Machine,Y,Y,53,0:00:37,2,Broken Product
ID0005,01/01/2015 10:00,Becky,Toaster,Y,Y,95,0:01:00,3,New Purchase
ID0006,01/01/2015 10:00,Stewart,Air Conditioner,N,N,,,,How-to
ID0007,01/01/2015 10:22,Diane,Toaster,Y,Y,24,0:03:40,2,
ID0008,01/01/2015 10:22,Diane,Toaster,Y,Y,22,0:00:38,4,Returns
ID0009,01/01/2015 11:13,Greg,Fridge,Y,Y,15,0:06:38,4,Broken Product
ID0010,01/01/2015 11:13,Jim,Television,Y,Y,78,0:01:04,3,Returns
ID0011,01/01/2015 11:15,Joe,Toaster,N,N,,,,How-to
ID0012,01/01/2015 11:15,Greg,Toaster,Y,Y,50,0:00:32,4,Broken Product
ID0013,01/01/2015 11:52,Joe,Toaster,Y,Y,84,0:03:34,3,How-to
ID0014,01/01/2015 11:52,Martha,Washing Machine,Y,Y,89,0:05:44,3,Returns
ID0015,01/01/2015 11:55,Becky,Fridge,Y,Y,48,0:03:47,4,How-to
ID0016,01/01/2015 11:55,Becky,Fridge,Y,Y,63,0:05:26,2,Billing
ID0017,01/01/2015 11:57,Greg,Air Conditioner,Y,Y,45,0:05:32,5,New Purchase
ID0018,01/01/2015 11:57,Becky,Fridge,N,N,,,,Broken Product
ID0019,01/01/2015 12:01,Jim,Television,N,N,,,,New Purchase
ID0020,01/01/2015 12:01,Jim,Washing Machine,Y,Y,101,0:02:27,3,Returns
ID0021,01/01/2015 12:02,Jim,Air Conditioner,Y,Y,74,0:05:22,5,Billing
ID0022,01/01/2015 12:02,Dan,Fridge,Y,Y,89,0:05:50,5,Returns
ID0023,01/01/2015 12:02,Martha,Air Conditioner,N,N,,,,How-to
ID0024,01/01/2015 12:02,Joe,Air Conditioner,Y,Y,68,0:05:25,2,Billing
ID0025,01/01/2015 12:30,Diane,Television,Y,Y,97,0:04:09,3,How-to
ID0026,01/01/2015 12:30,Dan,Toaster,N,N,,,,
ID0027,01/01/2015 12:40,Joe,Television,Y,Y,39,0:04:00,3,Billing
ID0028,01/01/2015 12:40,Martha,Washing Machine,Y,Y,51,0:02:34,4,Billing
ID0029,01/01/2015 12:40,Joe,Air Conditioner,Y,Y,106,0:02:09,4,Broken Product
ID0030,01/01/2015 12:40,Stewart,Television,Y,Y,107,0:05:55,3,Billing
ID0031,01/01/2015 13:24,Joe,Fridge,Y,Y,22,0:05:08,3,New Purchase
ID0032,01/01/2015 13:24,Joe,Television,Y,Y,122,0:02:08,4,Broken Product
ID0033,01/01/2015 13:33,Diane,Air Conditioner,Y,Y,57,0:06:49,3,Billing
ID0034,01/01/2015 13:33,Jim,Toaster,Y,N,53,0:01:44,2,Returns
ID0035,01/01/2015 13:42,Becky,Television,Y,Y,119,0:01:31,5,Returns
ID0036,01/01/2015 13:42,Diane,Television,N,N,,,,Billing
ID0037,01/01/2015 13:42,Martha,Air Conditioner,Y,N,20,0:01:12,2,How-to
ID0038,01/01/2015 13:42,Joe,Air Conditioner,Y,Y,52,0:00:36,3,Broken Product
ID0039,01/01/2015 14:38,Stewart,Washing Machine,Y,Y,74,0:06:41,1,Broken Product
ID0040,01/01/2015 14:38,Greg,Air Conditioner,Y,Y,49,0:02:29,3,Billing
ID0041,01/01/2015 14:47,Jim,Air Conditioner,Y,Y,27,0:02:09,5,Broken Product
ID0042,01/01/2015 14:47,Greg,Washing Machine,Y,Y,100,0:04:54,5,
ID0043,01/01/2015 14:47,Diane,Air Conditioner,Y,Y,45,0:06:21,3,Broken Product
ID0044,01/01/2015 14:47,Becky,Toaster,Y,Y,98,0:03:14,5,Billing
ID0045,01/01/2015 15:44,Diane,Fridge,Y,Y,25,0:05:13,5,Broken Product
ID0046,01/01/2015 15:44,Jim,Washing Machine,N,N,,,,New Purchase
ID0047,01/01/2015 17:13,Dan,Fridge,Y,Y,107,0:02:22,3,Billing
ID0048,01/01/2015 17:13,Martha,Washing Machine,N,N,,,,How-to
ID0049,01/01/2015 17:25,Joe,Air Conditioner,Y,Y,104,0:03:35,5,Billing
ID0050,01/01/2015 17:25,Dan,Air Conditioner,N,N,,,,Returns
ID0051,01/01/2015 17:35,Martha,Washing Machine,N,N,,,,Broken Product
ID0052,01/01/2015 17:35,Jim,Fridge,N,N,,,,Billing
ID0053,01/01/2015 17:36,Stewart,Toaster,Y,Y,13,0:01:15,5,Broken Product
ID0054,01/01/2015 17:36,Dan,Toaster,Y,Y,119,0:02:32,5,Billing
ID0055,01/01/2015 17:44,Becky,Television,Y,Y,35,0:01:19,3,Broken Product
ID0056,01/01/2015 17:44,Dan,Television,Y,Y,83,0:06:45,4,Returns
ID0057,01/01/2015 17:57,Jim,Air Conditioner,Y,Y,48,0:02:52,2,How-to
ID0058,01/01/2015 17:57,Stewart,Fridge,Y,Y,45,0:03:23,5,
ID0059,02/01/2015 9:05,Dan,Air Conditioner,Y,Y,65,0:06:00,5,Billing
ID0060,02/01/2015 9:05,Dan,Washing Machine,Y,Y,50,0:04:26,3,How-to
ID0061,02/01/2015 9:18,Diane,Television,Y,Y,17,0:06:15,3,Broken Product
ID0062,02/01/2015 9:18,Joe,Air Conditioner,N,N,,,,Billing
ID0063,02/01/2015 9:20,Dan,Television,Y,Y,96,0:06:46,1,How-to
ID0064,02/01/2015 9:20,Stewart,Television,Y,Y,90,0:06:23,3,Broken Product
ID0065,02/01/2015 9:38,Jim,Washing Machine,Y,Y,98,0:06:25,2,How-to
ID0066,02/01/2015 9:38,Diane,Air Conditioner,Y,N,90,0:01:23,4,Broken Product
ID0067,02/01/2015 10:04,Jim,Washing Machine,Y,Y,98,0:05:49,5,Broken Product
ID0068,02/01/2015 10:04,Jim,Washing Machine,Y,Y,70,0:03:12,5,New Purchase
ID0069,02/01/2015 10:33,Diane,Washing Machine,Y,Y,69,0:04:45,4,Returns
ID0070,02/01/2015 10:33,Diane,Fridge,N,N,,,,New Purchase
ID0071,02/01/2015 11:08,Joe,Air Conditioner,Y,Y,120,0:02:11,4,Broken Product
ID0072,02/01/2015 11:08,Stewart,Fridge,Y,Y,113,0:05:51,5,Broken Product
ID0073,02/01/2015 11:26,Greg,Toaster,Y,N,10,0:02:19,5,How-to
ID0074,02/01/2015 11:26,Becky,Washing Machine,Y,Y,122,0:04:53,1,How-to
ID0075,02/01/2015 11:42,Stewart,Air Conditioner,Y,N,125,0:01:38,3,Returns
ID0076,02/01/2015 11:42,Diane,Fridge,N,N,,,,How-to
ID0077,02/01/2015 11:47,Martha,Air Conditioner,Y,Y,33,0:06:38,2,How-to
