Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating,J,K
ID0001,01JAN15:09:12:58,Diane,Washing Machine,Y,Y,109,0:02:23,3,,
ID0002,01JAN15:09:12:58,Becky,Air Conditioner,Y,N,70,0:04:02,3,,
ID0003,01JAN15:09:47:31,Stewart,Washing Machine,Y,Y,10,0:02:11,3,,
ID0004,01JAN15:09:47:31,Greg,Washing Machine,Y,Y,53,0:00:37,2,,
ID0005,01JAN15:10:00:29,Becky,Toaster,Y,Y,95,0:01:00,3,,
ID0007,01JAN15:10:22:05,Diane,Toaster,Y,Y,24,0:03:40,2,,
ID0008,01JAN15:10:22:05,Diane,Toaster,Y,Y,22,0:00:38,4,,
ID0009,01JAN15:11:13:55,Greg,Fridge,Y,Y,15,0:06:38,4,,
ID0010,01JAN15:11:13:55,Jim,Television,Y,Y,78,0:01:04,3,,
ID0012,01JAN15:11:15:22,Greg,Toaster,Y,Y,50,0:00:32,4,,
ID0013,01JAN15:11:52:48,Joe,Toaster,Y,Y,84,0:03:34,3,,
ID0014,01JAN15:11:52:48,Martha,Washing Machine,Y,Y,89,0:05:44,3,,
ID0015,01JAN15:11:55:41,Becky,Fridge,Y,Y,48,0:03:47,4,,
ID0016,01JAN15:11:55:41,Becky,Fridge,Y,Y,63,0:05:26,2,,
ID0017,01JAN15:11:57:07,Greg,Air Conditioner,Y,Y,45,0:05:32,5,,
ID0020,01JAN15:12:01:26,Jim,Washing Machine,Y,Y,101,0:02:27,3,,
ID0021,01JAN15:12:02:53,Jim,Air Conditioner,Y,Y,74,0:05:22,5,,
ID0022,01JAN15:12:02:53,Dan,Fridge,Y,Y,89,0:05:50,5,,
ID0024,01JAN15:12:02:53,Joe,Air Conditioner,Y,Y,68,0:05:25,2,,
ID0025,01JAN15:12:30:14,Diane,Television,Y,Y,97,0:04:09,3,,
ID0027,01JAN15:12:40:19,Joe,Television,Y,Y,39,0:04:00,3,,
ID0028,01JAN15:12:40:19,Martha,Washing Machine,Y,Y,51,0:02:34,4,,
ID0029,01JAN15:12:40:19,Joe,Air Conditioner,Y,Y,106,0:02:09,4,,
ID0030,01JAN15:12:40:19,Stewart,Television,Y,Y,107,0:05:55,3,,
ID0031,01JAN15:13:24:58,Joe,Fridge,Y,Y,22,0:05:08,3,,
ID0032,01JAN15:13:24:58,Joe,Television,Y,Y,122,0:02:08,4,,
ID0033,01JAN15:13:33:36,Diane,Air Conditioner,Y,Y,57,0:06:49,3,,
ID0034,01JAN15:13:33:36,Jim,Toaster,Y,N,53,0:01:44,2,,
ID0035,01JAN15:13:42:14,Becky,Television,Y,Y,119,0:01:31,5,,
ID0037,01JAN15:13:42:14,Martha,Air Conditioner,Y,N,20,0:01:12,2,,
ID0038,01JAN15:13:42:14,Joe,Air Conditioner,Y,Y,52,0:00:36,3,,
ID0039,01JAN15:14:38:24,Stewart,Washing Machine,Y,Y,74,0:06:41,1,,
ID0040,01JAN15:14:38:24,Greg,Air Conditioner,Y,Y,49,0:02:29,3,,
ID0041,01JAN15:14:47:02,Jim,Air Conditioner,Y,Y,27,0:02:09,5,,
ID0042,01JAN15:14:47:02,Greg,Washing Machine,Y,Y,100,0:04:54,5,,
ID0043,01JAN15:14:47:02,Diane,Air Conditioner,Y,Y,45,0:06:21,3,,
ID0044,01JAN15:14:47:02,Becky,Toaster,Y,Y,98,0:03:14,5,,
ID0045,01JAN15:15:44:38,Diane,Fridge,Y,Y,25,0:05:13,5,,
ID0047,01JAN15:17:13:55,Dan,Fridge,Y,Y,107,0:02:22,3,,
ID0049,01JAN15:17:25:26,Joe,Air Conditioner,Y,Y,104,0:03:35,5,,
ID0053,01JAN15:17:36:58,Stewart,Toaster,Y,Y,13,0:01:15,5,,
ID0054,01JAN15:17:36:58,Dan,Toaster,Y,Y,119,0:02:32,5,,
ID0055,01JAN15:17:44:10,Becky,Television,Y,Y,35,0:01:19,3,,
ID0056,01JAN15:17:44:10,Dan,Television,Y,Y,83,0:06:45,4,,
ID0057,01JAN15:17:57:07,Jim,Air Conditioner,Y,Y,48,0:02:52,2,,
ID0058,01JAN15:17:57:07,Stewart,Fridge,Y,Y,45,0:03:23,5,,
ID0059,02JAN15:09:05:46,Dan,Air Conditioner,Y,Y,65,0:06:00,5,,
ID0060,02JAN15:09:05:46,Dan,Washing Machine,Y,Y,50,0:04:26,3,,
ID0061,02JAN15:09:18:43,Diane,Television,Y,Y,17,0:06:15,3,,
ID0063,02JAN15:09:20:10,Dan,Television,Y,Y,96,0:06:46,1,,
ID0064,02JAN15:09:20:10,Stewart,Television,Y,Y,90,0:06:23,3,,
ID0065,02JAN15:09:38:53,Jim,Washing Machine,Y,Y,98,0:06:25,2,,
ID0066,02JAN15:09:38:53,Diane,Air Conditioner,Y,N,90,0:01:23,4,,
ID0067,02JAN15:10:04:48,Jim,Washing Machine,Y,Y,98,0:05:49,5,,
ID0068,02JAN15:10:04:48,Jim,Washing Machine,Y,Y,70,0:03:12,5,,
ID0069,02JAN15:10:33:36,Diane,Washing Machine,Y,Y,69,0:04:45,4,,
ID0071,02JAN15:11:08:10,Joe,Air Conditioner,Y,Y,120,0:02:11,4,,
ID0072,02JAN15:11:08:10,Stewart,Fridge,Y,Y,113,0:05:51,5,,
ID0073,02JAN15:11:26:53,Greg,Toaster,Y,N,10,0:02:19,5,,
ID0074,02JAN15:11:26:53,Becky,Washing Machine,Y,Y,122,0:04:53,1,,
ID0075,02JAN15:11:42:43,Stewart,Air Conditioner,Y,N,125,0:01:38,3,,
ID0077,02JAN15:11:47:02,Martha,Air Conditioner,Y,Y,33,0:06:38,2,,
ID0078,02JAN15:11:47:02,Dan,Washing Machine,Y,Y,51,0:06:22,2,,
ID0079,02JAN15:11:54:14,Becky,Washing Machine,Y,Y,58,0:03:28,3,,
ID0080,02JAN15:11:54:14,Dan,Fridge,Y,Y,121,0:04:47,5,,
ID0081,02JAN15:12:00:00,Diane,Fridge,Y,Y,118,0:02:06,4,,
ID0082,02JAN15:12:00:00,Greg,Toaster,Y,Y,52,0:06:56,4,,
ID0083,02JAN15:12:20:10,Stewart,Fridge,Y,Y,55,0:04:44,3,,
ID0084,02JAN15:12:20:10,Dan,Washing Machine,Y,Y,68,0:05:59,4,,
ID0085,02JAN15:12:41:46,Becky,Air Conditioner,Y,Y,106,0:04:22,5,,
ID0086,02JAN15:12:41:46,Martha,Air Conditioner,Y,Y,32,0:04:36,3,,
ID0088,02JAN15:12:44:38,Martha,Fridge,Y,N,45,0:01:26,4,,
ID0089,02JAN15:12:59:02,Joe,Air Conditioner,Y,Y,119,0:03:32,4,,
ID0091,02JAN15:13:03:22,Jim,Washing Machine,Y,Y,46,0:05:41,1,,
ID0092,02JAN15:13:03:22,Stewart,Air Conditioner,Y,Y,101,0:01:28,3,,
ID0093,02JAN15:13:04:48,Jim,Air Conditioner,Y,Y,56,0:02:52,3,,
ID0094,02JAN15:13:04:48,Becky,Air Conditioner,Y,Y,80,0:00:53,3,,
ID0095,02JAN15:13:13:26,Diane,Television,Y,Y,24,0:01:36,3,,
ID0096,02JAN15:13:13:26,Stewart,Toaster,Y,Y,113,0:03:54,2,,
ID0097,02JAN15:13:20:38,Greg,Washing Machine,Y,Y,19,0:02:03,4,,
ID0099,02JAN15:13:20:38,Dan,Washing Machine,Y,Y,45,0:06:37,3,,
ID0100,02JAN15:13:20:38,Diane,Air Conditioner,Y,Y,95,0:05:11,1,,
ID0102,02JAN15:13:45:07,Martha,Air Conditioner,Y,N,79,0:05:31,1,,
ID0103,02JAN15:13:49:26,Diane,Toaster,Y,Y,22,0:03:56,2,,
ID0104,02JAN15:13:49:26,Martha,Washing Machine,Y,Y,38,0:06:36,1,,
ID0105,02JAN15:13:53:46,Becky,Air Conditioner,Y,Y,112,0:03:25,5,,
ID0106,02JAN15:13:53:46,Becky,Toaster,Y,Y,65,0:04:57,3,,
ID0108,02JAN15:14:22:34,Becky,Washing Machine,Y,N,55,0:02:32,1,,
ID0110,02JAN15:14:52:48,Joe,Television,Y,Y,19,0:02:38,2,,
